key,counts,ststa_ucount,ensta_ucount,br,ut_sub,ut_cu,counts1,spd_avg,spd_max,visb_avg,visb_max,temp_avg,temp_max,prcp_avg,prcp_max
2014 8 15,32480,324,323,1976.4037963761864,28977,3503,33,5.4499999999999975,8.8,16069.75,16093.0,21.018750000000004,24.4,0.0,0.0
2017 5 19,62143,603,605,1978.4135405501966,55156,6987,33,5.253124999999998,8.2,16019.46875,16093.0,26.306250000000006,32.8,0.0,0.0
2014 5 14,30044,324,323,1975.5810117172289,28251,1793,40,3.5923076923076898,6.7,15124.871794871795,16093.0,13.384615384615385,17.2,0.0,0.0
2016 12 15,25015,598,599,1976.846679409492,24782,191,35,9.311764705882359,13.9,15526.79411764706,16093.0,-1.188235294117647,3.9,0.0,0.0
2017 1 8,6417,570,572,1978.4142086901363,6343,54,36,8.008571428571425,10.8,12662.514285714286,16093.0,-5.834285714285714,-3.9,0.56875,5.6
2017 4 23,49107,595,598,1979.899488836507,36787,12320,34,4.999999999999997,7.2,16021.69696969697,16093.0,11.639393939393937,15.0,0.3185185185185185,3.0
2017 7 2,43036,610,610,1979.7626146032583,28250,14786,34,4.766666666666666,8.2,14415.242424242424,16093.0,25.21212121212121,31.1,1.4310344827586208,13.5
2017 9 28,70883,663,664,1979.1184729213414,65529,5354,42,6.224390243902439,10.8,14475.634146341463,16093.0,23.84634146341463,26.1,0.0,0.0
2017 10 9,38391,685,691,1980.4354600440392,35871,2520,48,7.223404255319151,13.4,8085.765957446809,16093.0,21.727659574468102,22.2,0.5514285714285715,8.0
2017 1 22,20523,593,594,1978.6521784998417,18954,1407,58,2.792982456140348,5.1,3399.6666666666665,16093.0,7.92631578947368,11.7,0.020689655172413793,0.3
2017 1 26,33002,599,599,1976.8921367202092,32300,597,35,5.391176470588237,12.9,16071.117647058823,16093.0,7.5852941176470585,11.7,0.06785714285714287,0.8
2014 1 19,9028,327,326,1976.1220848880596,8576,452,33,6.8999999999999995,9.8,16069.75,16093.0,-0.81875,2.8,0.45185185185185184,6.1
2014 6 28,28507,327,324,1977.4666241108882,21934,6573,33,3.7562500000000005,6.2,16069.75,16093.0,23.528124999999996,29.4,0.0,0.0
2016 10 1,39811,587,587,1979.2020501674206,33879,5384,35,6.276470588235291,7.7,14731.20588235294,16093.0,15.608823529411765,17.2,0.6586206896551725,7.9
